NAME,state_abbrev,name_simp,y2018_median_age_male,y2018_median_age_female,y2018_population,y2018_white_alone,y2018_black_alone,y2018_f_born,y2018_num_vehicles_avail,y2018_total_hh,y2018_married_hh,y2018_male_bachelors,y2018_female_bachelors,y2018_poverty,y2018_median_income,y2018_hours_worked_past_year,y2018_houses_for_sale,y2018_median_value,y2018_speaks_only_english,name_classic,countryRegion,latitude,longitude,state,division,region,y2013_median_age_male,y2013_median_age_female,y2013_population,y2013_white_alone,y2013_black_alone,y2013_f_born,y2013_num_vehicles_avail,y2013_total_hh,y2013_married_hh,y2013_male_bachelors,y2013_female_bachelors,y2013_poverty,y2013_median_income,y2013_hours_worked_past_year,y2013_houses_for_sale,y2013_median_value,y2013_speaks_only_english,y2014_median_age_male,y2014_median_age_female,y2014_population,y2014_white_alone,y2014_black_alone,y2014_f_born,y2014_num_vehicles_avail,y2014_total_hh,y2014_married_hh,y2014_male_bachelors,y2014_female_bachelors,y2014_poverty,y2014_median_income,y2014_hours_worked_past_year,y2014_houses_for_sale,y2014_median_value,y2014_speaks_only_english,y2015_median_age_male,y2015_median_age_female,y2015_population,y2015_white_alone,y2015_black_alone,y2015_f_born,y2015_num_vehicles_avail,y2015_total_hh,y2015_married_hh,y2015_male_bachelors,y2015_female_bachelors,y2015_poverty,y2015_median_income,y2015_hours_worked_past_year,y2015_houses_for_sale,y2015_median_value,y2015_speaks_only_english,y2016_median_age_male,y2016_median_age_female,y2016_population,y2016_white_alone,y2016_black_alone,y2016_f_born,y2016_num_vehicles_avail,y2016_total_hh,y2016_married_hh,y2016_male_bachelors,y2016_female_bachelors,y2016_poverty,y2016_median_income,y2016_hours_worked_past_year,y2016_houses_for_sale,y2016_median_value,y2016_speaks_only_english,y2017_median_age_male,y2017_median_age_female,y2017_population,y2017_white_alone,y2017_black_alone,y2017_f_born,y2017_num_vehicles_avail,y2017_total_hh,y2017_married_hh,y2017_male_bachelors,y2017_female_bachelors,y2017_poverty,y2017_median_income,y2017_hours_worked_past_year,y2017_houses_for_sale,y2017_median_value,y2017_speaks_only_english
"Phoenix-Mesa-Scottsdale, AZ Metro Area",AZ,Phoenix,35.3,37.6,4673634,3638425,251472,671507,1728910,1658053,796204,297615,308646,674355,30979,48522436,20933,234300,3217778,"Phoenix, AZ",AZ,33.44838,-112.07404,Arizona,Mountain,West,34.1,36.2,4268289,3435840,217157,616262,1499715,1535460,742639,255757,253026,694478,28299,43420498,35802,170700,2935811,34.4,36.5,4337542,3472199,221763,625736,1528795,1550372,742483,261405,259956,728145,28329,43676281,33367,170200,2992167,34.7,36.9,4407915,3507041,227743,634777,1573250,1570117,747684,268887,270154,736728,28436,44578018,28487,179100,3041486,35,37.2,4486153,3531990,234287,641471,1619925,1596641,762291,277521,282527,727943,28974,45692204,24720,196400,3099740,35.1,37.4,4561038,3567763,240636,653360,1666650,1623046,779674,286260,293568,703226,30157,46924419,23090,216600,3147906
"San Francisco-Oakland-Hayward, CA Metro Area",CA,San Francisco,37.9,39.9,4673221,2330954,343428,1429826,1455710,1692047,831295,464821,501430,439134,42757,53727308,6521,781200,2591568,"San Francisco, CA",CA,37.77493,-122.41942,California,Pacific,West,37.5,39.4,4402729,2410642,357664,1310804,1379155,1627123,762058,394892,438078,482006,36060,48544835,12926,579300,2468996,37.6,39.5,4466251,2409759,355847,1336045,1390265,1642466,774385,405564,448020,497279,36338,49257169,10178,592000,2503141,37.7,39.6,4528894,2398188,355068,1360620,1408615,1660221,788246,418609,459787,502274,36790,50488436,8027,617000,2535847,37.7,39.7,4577530,2384574,349339,1384161,1424760,1674040,804663,433541,471811,483627,38639,51640205,7458,661300,2553419,37.9,39.8,4641820,2363171,346781,1413878,1445270,1684081,817395,448136,487359,464416,40590,52898907,6700,716500,2581349
"Riverside-San Bernardino-Ontario, CA Metro Area",CA,Riverside,33.2,35.3,4518699,2755181,331949,964434,1564335,1348982,715258,187217,200064,704804,26690,43898396,16167,320400,2478512,"Riverside, CA",OH,33.9806,-117.3755,California,Pacific,West,31.9,34,4285443,2769756,318253,920860,1361805,1287023,686994,160325,171532,730791,24508,40165402,25568,227300,2362306,32.2,34.2,4345485,2786762,321617,941363,1390155,1297992,688663,163496,176923,765774,24498,40490647,22212,231800,2398724,32.4,34.5,4392801,2786752,323063,951508,1428310,1313557,691328,168990,180404,777751,24393,41106427,19565,245900,2421480,32.7,34.8,4430646,2776876,325758,957455,1466425,1324638,697846,175470,184935,768884,24884,41801986,17307,267500,2441100,33,35.1,4476222,2763173,327634,956427,1512370,1335366,706551,181851,191989,737025,25651,42896923,16352,293800,2472678
"Detroit-Warren-Dearborn, MI Metro Area",MI,Detroit,38.4,41.4,4317179,3001586,961060,422628,1725945,1690744,763288,263142,282047,645414,30418,44835796,19837,160600,3521585,"Detroit, MI",MI,42.33143,-83.04575,Michigan,East North Central,Midwest,38,40.6,4295700,3019858,971840,379510,1579720,1654891,764160,238370,255401,710286,26678,41734300,28330,124400,3541396,38.3,40.8,4292647,3012559,967425,383033,1605345,1656829,758099,241644,259920,716941,26934,42075508,25685,122800,3537865,38.3,41,4296416,3010754,965338,392502,1639950,1662948,757919,245991,265028,713256,27097,42875943,24597,127500,3530373,38.3,41.2,4296731,3002377,962627,400216,1672510,1672081,757837,250838,269535,689985,27825,43616392,21983,137200,3524356,38.4,41.4,4304613,3000249,960838,413469,1700855,1682662,763493,256690,275087,666348,29346,44212001,20257,149900,3522277
"Seattle-Tacoma-Bellevue, WA Metro Area",WA,Seattle,36.2,37.9,3809717,2636919,216114,695017,1415640,1473063,730844,343372,351569,360506,40164,45875301,9971,397000,2751203,"Seattle, WA",WA,47.60621,-122.33207,Washington,Pacific,West,36,37.8,3504628,2560031,194621,591405,1285265,1371951,665528,288249,293625,394687,34286,41257811,15706,321500,2560780,36.1,37.9,3557037,2579177,198650,608584,1302635,1381607,668831,295769,300483,408050,34590,41655132,14614,315700,2589723,36.1,37.9,3614361,2595362,201348,623751,1330055,1398003,680853,305756,312748,403263,35167,42500399,12947,321400,2629430,36.3,37.9,3671095,2608784,204089,641151,1355465,1417727,692692,316904,326914,392574,36183,43460149,11705,338600,2670460,36.3,38,3735216,2622692,208555,665983,1385205,1448393,713680,330290,340582,380955,37726,44678509,11103,365400,2712387
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",MN,Minneapolis,36.1,37.8,3557528,2818515,294958,376523,1549660,1366959,693081,310383,335416,314597,37770,41885058,8004,242800,2846603,"Minneapolis, MN",MN,44.97997,-93.26384,Minnesota,West North Central,Midwest,35.4,37.3,3391191,2767821,246991,323423,1434840,1314563,665210,278471,297147,352577,33428,39224715,13878,216500,2742126,35.5,37.4,3424786,2779295,255030,331886,1456590,1323355,667084,286388,305303,356449,34027,39605059,12175,212600,2764135,35.7,37.5,3458790,2790735,262209,343504,1482755,1334395,673350,290705,314059,350960,34296,40271120,11106,213900,2788573,35.8,37.6,3488436,2800357,270924,349066,1506225,1343140,679262,296251,321209,337767,35248,40945851,10135,220700,2810476,36,37.7,3526149,2807369,283177,366271,1531195,1355503,687844,301785,327668,324331,36297,41537311,9620,230700,2833456
"San Diego-Carlsbad, CA Metro Area",CA,San Diego,34.3,37,3302833,2335447,166412,774365,1286140,1118980,561609,254474,267051,403190,32447,38001660,6342,526300,1926965,"San Diego, CA",CA,32.71533,-117.15726,California,Pacific,West,33.4,36.3,3138265,2241045,158843,733577,1155955,1076483,531598,217252,222389,441648,29851,34948283,11423,402100,1835381,33.5,36.4,3183143,2259494,160316,743480,1178525,1083811,536854,223773,231371,455855,29848,35337521,9849,412800,1864943,33.7,36.5,3223096,2283618,163276,758527,1207325,1094157,542897,231854,238485,454876,29853,35974838,8737,429600,1884627,33.9,36.7,3253356,2310046,163928,765533,1230105,1103128,550153,239809,247217,444024,30432,36620548,7720,454600,1899704,34.1,36.8,3283665,2325434,164571,774362,1259835,1111739,556665,248215,257268,427031,31403,37410096,6500,484900,1913789
"Tampa-St. Petersburg-Clearwater, FL Metro Area",FL,Tampa,40.6,43.4,3030047,2363816,365400,410854,1143365,1196966,531522,199391,216117,424322,28041,29820698,18850,175600,2273849,"Tampa, FL",FL,27.94752,-82.45843,Florida,South Atlantic,South,40.3,42.8,2819241,2252942,337679,353095,1032195,1125965,505303,166614,177020,426027,25528,27131120,24417,146500,2156533,40.4,42.9,2851235,2262560,340888,362154,1047645,1134997,503186,172401,183243,440551,25717,27250580,23288,141900,2167142,40.5,43.1,2888458,2278794,346574,371090,1069395,1145501,506900,177436,187406,442846,25891,27837525,20822,144600,2189374,40.7,43.3,2927714,2305452,350019,378191,1091050,1161839,513191,184650,197209,436569,26282,28422068,19833,152600,2213234,40.7,43.3,2978209,2335632,357666,393108,1121690,1180768,524462,191077,205559,427922,26981,29144369,19273,162600,2244197
"Denver-Aurora-Lakewood, CO Metro Area",CO,Denver,35.7,37.2,2850221,2319051,161354,349691,1207240,1094028,528385,263308,269657,265989,37774,35300952,5236,350500,2137108,"Denver, CO",CO,39.73915,-104.9847,Colorado,Mountain,West,35.1,36.7,2601465,2116997,144113,311594,1044455,1011588,484309,220581,221128,315496,32477,31238706,11605,247800,1943680,35.2,36.8,2651392,2161498,146943,323181,1073660,1025246,489286,227309,228718,314917,33082,31809358,9459,253100,1976912,35.3,36.9,2703972,2213140,150830,330595,1110725,1042103,498919,236246,238117,308662,33578,32686010,7500,267000,2019477,35.5,37,2752056,2252942,155202,337083,1138350,1058467,509606,243909,247412,296808,34732,33425639,5901,287400,2056147,35.6,37.1,2798684,2285334,156781,343760,1170050,1075807,518961,253629,258445,282634,36132,34396752,5391,317100,2095069
"St. Louis, MO-IL Metro Area",MO,St. Louis,37.7,40.6,2805551,2130570,513025,132487,1176675,1118263,526409,185208,203976,327664,31786,29476446,15065,167700,2467991,"St. Louis, MO",MO,38.62727,-90.19789,Missouri,West North Central,Midwest,36.8,39.7,2792127,2140284,511901,123851,1135390,1104400,526464,172603,185211,359310,28370,29154847,18558,158100,2450641,36.9,40,2797737,2141554,513068,125211,1140290,1104257,524853,175876,190081,361731,28809,29046290,18523,156900,2460774,37.1,40.1,2801914,2141108,511454,125122,1150005,1104672,522631,177471,194174,359766,29137,29166355,16686,157100,2467354,37.2,40.3,2803449,2138884,512913,125686,1157205,1107468,522168,180202,199415,349626,30001,29251966,15502,159500,2470132,37.4,40.5,2804998,2135251,513403,128268,1168595,1112971,524924,183417,203033,335430,30941,29369380,15043,162600,2470665
