NAME,name_simp,state_abbrev,state,region,latitude,longitude,pct_pop_change,pop_change,population,median_age_male,median_age_female,median_income,median_value,pct_white,pct_black,pct_foreign_born,pct_married_hh,per_capita_for_sale,pct_only_english,vehicles_per_hh,pct_poverty,pct_bachelors
"El Paso, TX Metro Area",El Paso,TX,Texas,South,31.75872,-106.48693,0.031042038978012245,25343,832565.3333333334,29.833333333333332,33.449999999999996,20659.5,114533.33333333333,0.8160128374309763,0.034159481378037995,0.2553995762494715,0.9184748938773949,0.003746052361856687,0.25574689633966663,1.1082832995525642,0.22134579228216725,0.0879226294953429
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",Allentown,PA,Pennsylvania,Northeast,40.60843,-75.49018,0.013213051348073582,10884,829394.1666666666,39.666666666666664,42.53333333333334,28835.833333333332,203283.33333333334,0.8446508646371398,0.05412384340778862,0.08546298352311377,0.9212215415465306,0.004587284091902423,0.7916937362914497,1.0610321995445695,0.10711131518688842,0.11914640505670306
"Baton Rouge, LA Metro Area",Baton Rouge,LA,Louisiana,South,30.45075,-91.15455,0.025748748788352357,20826,821088.6666666666,33.58333333333333,35.93333333333333,27315.333333333332,164150,0.5984753575131553,0.35489163573889304,0.03724425214329269,0.910061381994615,0.0043468711864654485,0.8729536314795073,1.1064115637190868,0.1664706531897083,0.11585695576523201
"Columbia, SC Metro Area",Columbia,SC,South Carolina,South,34.0007,-81.0348,0.05132634907066738,39870,796603.6666666666,34.51666666666667,37.8,26518.833333333332,142850,0.6043595079276144,0.3316988247187748,0.049543876063839365,0.9110826999971169,0.005794391271945773,0.8699120976512369,1.0527860879670183,0.15239092129042842,0.1262160480473142
"Dayton, OH Metro Area",Dayton,OH,Ohio,Midwest,39.75895,-84.19161,9.440221078255318e-4,757,801517.8333333334,37.56666666666666,40.98333333333333,26475.333333333332,124633.33333333333,0.7879635449991027,0.15498968935396945,0.04034262494055549,0.908001571902347,0.005816880348056302,0.8888602395413535,0.9561085871766075,0.15681934296741576,0.10841992078778866
"North Port-Sarasota-Bradenton, FL Metro Area",North Port,FL,Florida,South,27.04422,-82.23593,0.10302828731049522,73416,746155.3333333334,49.38333333333333,52.35,27321.5,190033.33333333334,0.8823759217249669,0.06602222236120629,0.1234836714071154,0.9188481549526698,0.008389227265457684,0.8162120845257421,0.8039403819432016,0.12340772654130104,0.1406266612939397
"Charleston-North Charleston, SC Metro Area",Charleston,SC,South Carolina,South,32.7765,-79.9311,0.11179170132258708,76343,720688.3333333334,34.93333333333333,37.53333333333333,28498.833333333332,198033.33333333334,0.6745185736784046,0.2666226501053391,0.05033313059505611,0.9145296740361131,0.005756996205016963,0.8704520909408365,1.0704282385814157,0.1443881196911286,0.14449681207549261
"Greensboro-High Point, NC Metro Area",Greensboro,NC,North Carolina,South,36.07264,-79.79198,0.037609777337192715,27468,743875.5,37.35,39.56666666666667,25269.666666666668,141983.33333333334,0.647325616540223,0.2627682096444006,0.08557502790005406,0.9108450104897617,0.005504953449871652,0.8308007634790141,0.9996731575038588,0.16989514150329366,0.12410499696073694
"Little Rock-North Little Rock-Conway, AR Metro Area",Little Rock,AR,Arkansas,South,34.74648,-92.28959,0.03531623926804962,25055,723533.1666666666,35.016666666666666,37.48333333333334,26956.333333333332,141433.33333333334,0.7187452130160354,0.22779444112098987,0.04030384232558794,0.9130971094686917,0.007762601990832487,0.8755166487415114,1.0691208781300063,0.14816298446581233,0.1219944075357983
"Stockton-Lodi, CA Metro Area",Stockton,CA,California,West,37.9577,-121.29078,0.05631317830799348,39035,712334.3333333334,32.5,34.68333333333333,24866,247350,0.5700544173311876,0.07049147801851471,0.23220416630205945,0.9216006995811122,0.0023998562472771446,0.5495425135107438,1.0428886114930966,0.17446582901381044,0.07671280760953542
"Cape Coral-Fort Myers, FL Metro Area",Cape Coral,FL,Florida,South,26.56285,-81.94953,0.1336203089114908,84711,674168.5,45.71666666666667,48.46666666666666,25474.333333333332,170966.66666666666,0.8457151290812311,0.08557158435415874,0.15735927541358974,0.9242452982076708,0.009463756711662837,0.7443205964087614,0.8692408625237835,0.15074075200289938,0.1222367504068592
