NAME,state_abbrev,name_simp,y2018_population,y2018_white_alone,y2018_black_alone,y2018_f_born,y2018_total_hh,y2018_married_hh,y2018_median_income,y2018_houses_for_sale,y2018_median_value,latitude,longitude,state,division,region,y2013_population,y2013_white_alone,y2013_black_alone,y2013_f_born,y2013_total_hh,y2013_married_hh,y2013_median_income,y2013_houses_for_sale,y2013_median_value,y2014_population,y2014_white_alone,y2014_black_alone,y2014_f_born,y2014_total_hh,y2014_married_hh,y2014_median_income,y2014_houses_for_sale,y2014_median_value,y2015_population,y2015_white_alone,y2015_black_alone,y2015_f_born,y2015_total_hh,y2015_married_hh,y2015_median_income,y2015_houses_for_sale,y2015_median_value,y2016_population,y2016_white_alone,y2016_black_alone,y2016_f_born,y2016_total_hh,y2016_married_hh,y2016_median_income,y2016_houses_for_sale,y2016_median_value,y2017_population,y2017_white_alone,y2017_black_alone,y2017_f_born,y2017_total_hh,y2017_married_hh,y2017_median_income,y2017_houses_for_sale,y2017_median_value
"Phoenix-Mesa-Scottsdale, AZ Metro Area",AZ,Phoenix,4673634,3638425,251472,671507,1658053,796204,30979,20933,234300,33.44838,-112.07404,Arizona,Mountain,West,4268289,3435840,217157,616262,1535460,742639,28299,35802,170700,4337542,3472199,221763,625736,1550372,742483,28329,33367,170200,4407915,3507041,227743,634777,1570117,747684,28436,28487,179100,4486153,3531990,234287,641471,1596641,762291,28974,24720,196400,4561038,3567763,240636,653360,1623046,779674,30157,23090,216600
"San Francisco-Oakland-Hayward, CA Metro Area",CA,San Francisco,4673221,2330954,343428,1429826,1692047,831295,42757,6521,781200,37.77493,-122.41942,California,Pacific,West,4402729,2410642,357664,1310804,1627123,762058,36060,12926,579300,4466251,2409759,355847,1336045,1642466,774385,36338,10178,592000,4528894,2398188,355068,1360620,1660221,788246,36790,8027,617000,4577530,2384574,349339,1384161,1674040,804663,38639,7458,661300,4641820,2363171,346781,1413878,1684081,817395,40590,6700,716500
"Riverside-San Bernardino-Ontario, CA Metro Area",CA,Riverside,4518699,2755181,331949,964434,1348982,715258,26690,16167,320400,39.77978,-84.1241,California,Pacific,West,4285443,2769756,318253,920860,1287023,686994,24508,25568,227300,4345485,2786762,321617,941363,1297992,688663,24498,22212,231800,4392801,2786752,323063,951508,1313557,691328,24393,19565,245900,4430646,2776876,325758,957455,1324638,697846,24884,17307,267500,4476222,2763173,327634,956427,1335366,706551,25651,16352,293800
"Detroit-Warren-Dearborn, MI Metro Area",MI,Detroit,4317179,3001586,961060,422628,1690744,763288,30418,19837,160600,42.33143,-83.04575,Michigan,East North Central,Midwest,4295700,3019858,971840,379510,1654891,764160,26678,28330,124400,4292647,3012559,967425,383033,1656829,758099,26934,25685,122800,4296416,3010754,965338,392502,1662948,757919,27097,24597,127500,4296731,3002377,962627,400216,1672081,757837,27825,21983,137200,4304613,3000249,960838,413469,1682662,763493,29346,20257,149900
"Seattle-Tacoma-Bellevue, WA Metro Area",WA,Seattle,3809717,2636919,216114,695017,1473063,730844,40164,9971,397000,47.60621,-122.33207,Washington,Pacific,West,3504628,2560031,194621,591405,1371951,665528,34286,15706,321500,3557037,2579177,198650,608584,1381607,668831,34590,14614,315700,3614361,2595362,201348,623751,1398003,680853,35167,12947,321400,3671095,2608784,204089,641151,1417727,692692,36183,11705,338600,3735216,2622692,208555,665983,1448393,713680,37726,11103,365400
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",MN,Minneapolis,3557528,2818515,294958,376523,1366959,693081,37770,8004,242800,44.97997,-93.26384,Minnesota,West North Central,Midwest,3391191,2767821,246991,323423,1314563,665210,33428,13878,216500,3424786,2779295,255030,331886,1323355,667084,34027,12175,212600,3458790,2790735,262209,343504,1334395,673350,34296,11106,213900,3488436,2800357,270924,349066,1343140,679262,35248,10135,220700,3526149,2807369,283177,366271,1355503,687844,36297,9620,230700
"San Diego-Carlsbad, CA Metro Area",CA,San Diego,3302833,2335447,166412,774365,1118980,561609,32447,6342,526300,32.71533,-117.15726,California,Pacific,West,3138265,2241045,158843,733577,1076483,531598,29851,11423,402100,3183143,2259494,160316,743480,1083811,536854,29848,9849,412800,3223096,2283618,163276,758527,1094157,542897,29853,8737,429600,3253356,2310046,163928,765533,1103128,550153,30432,7720,454600,3283665,2325434,164571,774362,1111739,556665,31403,6500,484900
"Tampa-St. Petersburg-Clearwater, FL Metro Area",FL,Tampa,3030047,2363816,365400,410854,1196966,531522,28041,18850,175600,27.94752,-82.45843,Florida,South Atlantic,South,2819241,2252942,337679,353095,1125965,505303,25528,24417,146500,2851235,2262560,340888,362154,1134997,503186,25717,23288,141900,2888458,2278794,346574,371090,1145501,506900,25891,20822,144600,2927714,2305452,350019,378191,1161839,513191,26282,19833,152600,2978209,2335632,357666,393108,1180768,524462,26981,19273,162600
"Denver-Aurora-Lakewood, CO Metro Area",CO,Denver,2850221,2319051,161354,349691,1094028,528385,37774,5236,350500,39.73915,-104.9847,Colorado,Mountain,West,2601465,2116997,144113,311594,1011588,484309,32477,11605,247800,2651392,2161498,146943,323181,1025246,489286,33082,9459,253100,2703972,2213140,150830,330595,1042103,498919,33578,7500,267000,2752056,2252942,155202,337083,1058467,509606,34732,5901,287400,2798684,2285334,156781,343760,1075807,518961,36132,5391,317100
"St. Louis, MO-IL Metro Area",MO,St. Louis,2805551,2130570,513025,132487,1118263,526409,31786,15065,167700,38.62727,-90.19789,Missouri,West North Central,Midwest,2792127,2140284,511901,123851,1104400,526464,28370,18558,158100,2797737,2141554,513068,125211,1104257,524853,28809,18523,156900,2801914,2141108,511454,125122,1104672,522631,29137,16686,157100,2803449,2138884,512913,125686,1107468,522168,30001,15502,159500,2804998,2135251,513403,128268,1112971,524924,30941,15043,162600
"Baltimore-Columbia-Towson, MD Metro Area",MD,Baltimore,2793250,1690281,814166,289080,1043798,483970,38144,13722,292500,39.29038,-76.61219,Maryland,South Atlantic,South,2734044,1699345,784998,252752,1029322,474764,34644,14405,281400,2753396,1702288,793749,259051,1032863,474138,34982,14015,277600,2769818,1705650,799814,267112,1036312,475103,35098,13863,277500,2780873,1705027,806346,275704,1040674,477932,35844,13553,280500,2792050,1699296,812786,283951,1040704,480493,36739,13168,285700
"Charlotte-Concord-Gastonia, NC-SC Metro Area",NC,Charlotte,2473125,1669633,554467,244708,925313,459052,30846,8597,187700,35.22709,-80.84313,North Carolina,South Atlantic,South,2261321,1577040,496721,207619,848632,421836,26954,13828,164800,2298915,1591506,506743,211636,857926,423563,27062,12986,164900,2338792,1609650,518153,221569,871519,429472,27344,11556,166000,2381152,1628022,529487,229711,885916,437337,28406,10375,170400,2427024,1647912,542050,238515,906355,447897,29867,9460,177000
"Orlando-Kissimmee-Sanford, FL Metro Area",FL,Orlando,2450261,1720668,404516,439735,855265,410929,26960,13883,201600,28.53834,-81.37924,Florida,South Atlantic,South,2183363,1574283,350380,354759,770982,372518,24376,17097,161800,2226835,1600874,361047,364012,779612,375083,24325,14987,156100,2277816,1627159,370772,379528,798168,380704,24455,13415,157900,2328508,1657932,380326,393188,816428,387473,25209,13451,166300,2390859,1686516,391471,414443,837022,400910,25988,13788,180100
"San Antonio-New Braunfels, TX Metro Area",TX,San Antonio,2426204,1962380,164197,287263,803662,390103,27842,7566,161400,29.4241,-98.4936,Texas,West South Central,South,2192724,1713746,141537,258105,759762,374432,25235,9546,131100,2239222,1770074,145284,265693,771789,376549,25496,8768,134600,2286702,1822750,151999,267511,779381,378103,25492,8483,138400,2332345,1868183,156555,275148,786156,380133,26068,7655,144000,2377507,1917756,159667,278724,795519,387653,26892,7382,152400
"Portland-Vancouver-Hillsboro, OR-WA Metro Area",OR,Portland,2417931,1964482,67913,305485,925631,459710,33675,6111,342900,43.66147,-70.25533,Oregon,Pacific,West,2260591,1857416,64958,281081,870751,426091,29075,10277,267500,2288796,1875968,65027,285904,878078,428227,29261,9130,264200,2320323,1901910,65734,290580,886763,432966,29663,7515,270700,2351319,1926303,66051,293891,896514,440341,30634,6986,286800,2382037,1944930,67881,300477,912368,450478,31882,6340,312500
"Pittsburgh, PA Metro Area",PA,Pittsburgh,2339941,2029398,190257,88707,1003283,466671,30823,11974,148000,40.44062,-79.99589,Pennsylvania,Mid-Atlantic,Northeast,2358746,2068540,193351,78388,989179,465674,26436,12273,124800,2358793,2063285,193323,81362,989655,462829,27054,11775,128100,2358926,2058798,193454,85263,991522,463906,27350,11731,132500,2354926,2051961,192647,87078,992104,463255,28339,11733,136700,2348143,2041125,191188,88293,1000493,466539,29798,11827,142100
"Sacramento--Roseville--Arden-Arcade, CA Metro Area",CA,Sacramento,2291738,1499409,162589,423251,819372,402635,31952,6231,365900,38.58157,-121.4944,California,Pacific,West,2174401,1453347,155784,383275,788184,380494,28414,9709,272200,2197422,1462571,157983,389353,791744,381297,28384,8957,275100,2221525,1474715,158337,401062,797135,383857,28428,7965,286500,2242542,1484732,158882,405725,804137,388765,29793,6755,309900,2268005,1492512,160271,415868,811543,396568,30791,6504,339500
"Cincinnati, OH-KY-IN Metro Area",OH,Cincinnati,2168825,1771834,265271,102035,845473,403503,31512,6881,163100,39.162,-84.45689,Ohio,East North Central,Midwest,2122940,1763045,257266,88304,813297,399300,27807,13078,153400,2131793,1764996,260207,89284,817460,398287,28120,12046,152600,2139466,1767230,260912,91272,822679,397697,28399,10822,153400,2146410,1767461,262757,92479,830512,399372,29402,9778,156100,2156723,1770349,263446,98118,838070,403145,30553,8410,158800
"San Juan-Carolina-Caguas, PR Metro Area",PR,San Juan,2142392,1466521,278165,81538,767520,289511,14373,18236,125300,18.4655,-66.1057,NA,NA,NA,2324828,1529254,224950,91885,785798,316821,13633,16819,136000,2297987,1525667,227216,90313,792764,314969,13806,18837,135700,2263582,1534781,233111,87752,794242,310525,13699,19618,134100,2230563,1538626,244943,84812,790515,305212,13832,19037,132400,2193264,1523290,258112,82947,779035,299079,13974,19112,128300
"Las Vegas-Henderson-Paradise, NV Metro Area",NV,Las Vegas,2141574,1299138,245827,475317,767954,330594,30094,9531,238300,36.17497,-115.13722,Nevada,Mountain,West,1976925,1316033,209072,431587,710058,316478,27970,15247,165000,2003613,1300909,214491,436457,715415,315228,27440,12932,163100,2035572,1297687,220592,445605,724446,317402,27314,10946,170400,2070153,1297573,228502,455832,735475,320381,27724,9249,186700,2112436,1301043,237543,470645,749858,328365,28788,9598,212300
"Kansas City, MO-KS Metro Area",MO,Kansas City,2106632,1651435,261797,141234,821644,399060,33231,6938,173500,39.11417,-94.62746,Missouri,West North Central,Midwest,2025297,1606492,253688,128394,789604,386050,30185,10859,158300,2040869,1614229,256006,131230,792793,385998,30253,10218,158300,2055675,1622391,256899,132761,800071,387067,30539,8410,159500,2070147,1631543,258859,132094,806553,389960,31093,7508,162400,2088830,1641064,260124,138274,815314,395615,32003,7607,166800
"Cleveland-Elyria, OH Metro Area",OH,Cleveland,2061766,1515518,410565,119597,857453,362167,29857,9364,146800,35.15952,-84.87661,Ohio,East North Central,Midwest,2070965,1544163,414087,118205,845349,369167,26449,12576,141900,2067490,1537690,412549,118348,846647,365750,26694,11629,139800,2064483,1532711,412610,118026,847608,364082,26850,11032,138900,2061630,1525780,412837,116355,848772,363019,27410,10964,140200,2062764,1522054,410657,118540,853766,363331,28550,10194,142400
"Austin-Round Rock, TX Metro Area",TX,Austin,2058351,1578653,150694,308123,742689,355825,36256,5939,261400,30.26715,-97.74306,Texas,West South Central,South,1782032,1374164,130701,260028,660308,310264,30932,7320,192000,1835016,1436424,133978,269646,673901,314734,31116,6935,196500,1889094,1482722,138633,278770,689278,324941,31592,6619,208700,1942615,1528195,142102,284151,706066,332699,32378,6132,223500,2000590,1554967,145243,298065,724566,344937,34654,5701,240500
"Columbus, OH Metro Area",OH,Columbus,2054062,1559532,314150,163262,784786,364301,31889,6079,173500,32.46098,-84.98771,Ohio,East North Central,Midwest,1926242,1510163,277105,131684,741026,347806,28865,10865,158100,1948188,1519779,281911,136128,748544,350122,29205,9366,158000,1972375,1530877,287592,140655,756520,352036,29535,8537,159100,1995004,1539809,296212,144820,764973,355019,30189,7380,161700,2023695,1550627,305414,150986,775065,360464,31001,7293,166600
"Indianapolis-Carmel-Anderson, IN Metro Area",IN,Indianapolis,2007497,1546964,302561,137197,767335,358777,31396,8047,155000,39.76838,-86.15804,Indiana,East North Central,Midwest,1911795,1492014,278279,117885,728202,350098,28051,10811,140200,1931182,1503587,282243,119849,734934,350378,28192,10878,139900,1950674,1515706,288032,119700,741817,350626,28449,9972,141800,1968768,1522971,293037,125803,749799,352247,29294,9459,144700,1989032,1538077,296651,132510,759549,356136,30395,8536,148500
"San Jose-Sunnyvale-Santa Clara, CA Metro Area",CA,San Jose,1981616,914311,48498,756708,653265,372591,43829,1663,898300,37.33939,-121.89496,California,Pacific,West,1868323,947104,48603,682834,626372,350012,37476,3822,636900,1898457,955469,49234,700049,631835,354967,37769,3493,654800,1925706,951058,48759,715783,638661,360149,38311,2456,688500,1943107,932437,48443,728952,643969,364645,40096,1882,740400,1969897,917766,48756,750104,647891,367887,41405,1645,815000
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",TN,Nashville,1864138,1451352,283486,149564,704111,351983,31365,5264,217500,36.16589,-86.78444,Tennessee,East South Central,South,1702603,1329117,259834,123973,645758,318511,27249,9941,171800,1730515,1345636,264401,128489,654063,322078,27348,8671,171700,1761848,1370259,268926,134423,664881,328963,28070,7329,174700,1794570,1399093,273285,136408,677129,334864,29079,6568,183400,1830410,1428705,278089,143603,691266,344336,30362,5586,197000
"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area",VA,Virginia Beach,1722001,1019194,526089,113392,644632,305034,31759,8434,242100,36.8529,-75.978,Virginia,South Atlantic,South,1688238,1020899,523437,104291,623647,298768,29807,8606,240000,1697898,1022409,524445,107491,626974,298786,30015,8503,235900,1706878,1025278,525583,107516,631299,298325,29774,8332,233800,1714428,1026935,526114,109321,636750,299172,30229,7860,234200,1717708,1022949,525663,110516,638027,301581,30834,8129,236600
"Providence-Warwick, RI-MA Metro Area",RI,Providence,1615516,1327081,91894,216469,627503,284028,31293,6322,266700,41.82399,-71.41283,Rhode Island,New England,Northeast,1601565,1343890,85972,203420,620095,281255,27346,6469,259500,1604317,1341259,86950,204506,620570,279409,27482,6596,253900,1606424,1336546,88688,208643,622631,280058,28044,6583,250700,1609359,1333522,89803,210736,623173,279983,28919,6434,251400,1613154,1330123,89671,215109,627931,285021,30270,6395,257300
"Milwaukee-Waukesha-West Allis, WI Metro Area",WI,Milwaukee,1575907,1148488,261568,114927,629381,279897,31876,4647,204700,43.0389,-87.90647,Wisconsin,East North Central,Midwest,1560621,1168692,258576,108399,619220,278473,28499,5032,198100,1565368,1166819,258877,108738,622201,279437,28843,5425,194700,1570006,1166909,260540,111229,624146,279923,29332,4941,193600,1571730,1160636,260776,111384,626504,279623,30125,5057,194400,1575101,1157452,261429,111923,627823,280542,30973,4946,197800
"Jacksonville, FL Metro Area",FL,Jacksonville,1475386,1027884,316574,134776,553919,264264,30497,7194,188700,34.8662,-92.11015,Florida,South Atlantic,South,1363610,964700,295052,109896,510520,244646,27417,10617,163600,1380995,976345,297789,112121,516599,245089,27419,9151,158300,1401600,988696,301288,117182,522706,246244,27414,7945,158100,1424097,1002166,304877,119718,531225,250912,28041,7208,163700,1447884,1013357,311616,127005,542219,259111,29767,7295,174000
"Oklahoma City, OK Metro Area",OK,Oklahoma City,1369759,1009382,140763,109711,511536,244688,29724,5368,151900,35.46756,-97.51643,Oklahoma,West South Central,South,1277830,947786,129082,100692,484591,233556,26104,6936,130600,1297998,962807,131681,104740,490013,236385,26614,6488,133700,1318408,978411,132802,107999,494884,236482,26899,6248,137200,1337075,991052,135828,107756,500437,238772,27548,5822,141500,1353504,1000790,138362,108602,505879,241731,28676,5892,146800
"Memphis, TN-MS-AR Metro Area",TN,Memphis,1345991,629111,629900,70837,498143,207652,27360,5054,144300,35.14953,-90.04898,Tennessee,East South Central,South,1331931,644387,606872,67664,486211,205614,25249,8047,134300,1337014,642009,614468,67144,489161,206308,25452,6915,133700,1340336,639353,618891,68510,492066,203952,25484,6279,133300,1341339,633397,625113,67438,495558,206377,26050,5798,134900,1344058,631533,627245,69378,495596,206406,26721,5303,138200
"Raleigh, NC Metro Area",NC,Raleigh,1302632,880329,258844,156724,482401,253090,35563,3899,236200,35.7721,-78.63861,North Carolina,South Atlantic,South,1162689,811525,234978,134994,432699,225924,31893,5948,205400,1189579,827047,240035,139633,440375,228151,31923,5948,206600,1216711,842151,245264,142315,450125,233771,31861,5505,210700,1243720,854526,249748,146736,460183,238738,32512,4588,216600,1273985,868609,253708,154123,471659,246148,34002,4309,224800
"Louisville/Jefferson County, KY-IN Metro Area",KY,Louisville,1285270,1028556,183864,70036,501246,231156,30173,5389,161800,38.25424,-85.75941,Kentucky,East South Central,South,1244880,1009130,173043,61776,490090,229678,26411,7816,147100,1253305,1013586,174174,63449,491885,228179,26659,7836,148000,1261936,1018206,175854,63662,492904,226916,26808,7368,148900,1269550,1023003,178387,64986,497174,227783,27485,6685,151800,1278203,1026770,181114,67043,498979,229734,29083,6008,155700
"Richmond, VA Metro Area",VA,Richmond,1281530,790088,380799,98661,484791,224919,33033,4064,228700,39.82894,-84.89024,Virginia,South Atlantic,South,1221729,762861,367970,87632,460627,217123,30172,5628,219000,1234058,768071,371424,90640,463593,217199,30442,5288,214900,1246215,771833,373687,91777,468648,216945,30404,4635,213000,1258158,776370,376247,91617,475648,219469,30874,4514,214500,1270158,782567,378243,94065,479256,222295,31881,4029,220400
"New Orleans-Metairie, LA Metro Area",LA,New Orleans,1263635,726976,443225,95510,480838,195030,27873,5664,190000,29.95465,-90.07507,Louisiana,West South Central,South,1209239,706845,418024,86328,467269,193536,25477,8348,174700,1226440,716227,425504,88260,470837,192406,25690,7485,173600,1239697,724022,431024,90503,475118,191783,25869,6668,176000,1250247,727378,436558,92436,479206,193694,26293,5928,179500,1260660,728761,441391,95745,480817,195481,27019,5383,184100
