NAME,state_abbrev,name_simp,y2018_population,y2018_white_alone,y2018_black_alone,y2018_f_born,y2018_total_hh,y2018_married_hh,y2018_median_income,y2018_houses_for_sale,y2018_median_value,latitude,longitude,state,division,region,y2013_population,y2013_white_alone,y2013_black_alone,y2013_f_born,y2013_total_hh,y2013_married_hh,y2013_median_income,y2013_houses_for_sale,y2013_median_value,y2014_population,y2014_white_alone,y2014_black_alone,y2014_f_born,y2014_total_hh,y2014_married_hh,y2014_median_income,y2014_houses_for_sale,y2014_median_value,y2015_population,y2015_white_alone,y2015_black_alone,y2015_f_born,y2015_total_hh,y2015_married_hh,y2015_median_income,y2015_houses_for_sale,y2015_median_value,y2016_population,y2016_white_alone,y2016_black_alone,y2016_f_born,y2016_total_hh,y2016_married_hh,y2016_median_income,y2016_houses_for_sale,y2016_median_value,y2017_population,y2017_white_alone,y2017_black_alone,y2017_f_born,y2017_total_hh,y2017_married_hh,y2017_median_income,y2017_houses_for_sale,y2017_median_value
"Hartford-West Hartford-East Hartford, CT Metro Area",CT,Hartford,1209367,918028,135378,160392,471188,222928,37021,5367,246600,41.76371,-72.68509,Connecticut,New England,Northeast,1213883,937276,130949,155700,468342,224916,33175,4747,249900,1215159,937587,131833,155291,469020,223638,33437,4864,247200,1214056,933924,133307,158432,466946,224005,33866,5420,245000,1211826,929883,133213,157306,468247,223412,35056,5480,244000,1213123,924335,135050,159687,470348,224795,35971,5675,244300
"Salt Lake City, UT Metro Area",UT,Salt Lake City,1185990,946014,20883,145628,389330,215166,31725,2392,276200,40.76078,-111.89105,Utah,Mountain,West,1107434,942124,18038,128715,362370,201217,27316,4540,228700,1123643,942595,17983,133639,366510,203023,27704,4366,227700,1139851,944295,18472,136133,370523,204942,28200,3753,231000,1154504,942742,18699,138143,375127,207578,29330,3152,239700,1170057,944043,19419,139928,382620,211738,30681,3001,255100
"Birmingham-Hoover, AL Metro Area",AL,Birmingham,1147054,755881,329444,44980,440651,210224,28243,5327,156900,33.52066,-86.80249,Alabama,East South Central,South,1132182,759032,322163,46301,435313,209896,25468,8190,143400,1135534,758214,323519,44661,435724,208741,25425,8396,144000,1138476,757389,325219,45191,438124,210140,25636,7205,146200,1141309,757609,326204,44783,439027,209006,26216,6787,149000,1144097,756098,327640,44925,440261,208919,27097,6142,152200
"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",NY,Buffalo,1131570,902179,138620,73678,476058,201630,30535,5378,141500,45.17191,-93.87469,New York,Mid-Atlantic,Northeast,1134695,922982,136622,66907,468528,201567,26623,5174,120700,1135667,918367,137038,67873,470035,200567,26959,5203,122600,1135734,913210,138481,69909,470653,200188,27262,4989,125000,1135503,910187,138633,69806,470460,199688,28122,5017,129800,1136670,907751,139418,71618,474349,201273,29268,5356,135000
"Rochester, NY Metro Area",NY,Rochester,1074667,872779,123511,74997,431331,192671,30108,3335,140800,44.02163,-92.4699,New York,Mid-Atlantic,Northeast,1081126,882105,123842,71526,426652,196176,26996,3586,130100,1082578,881473,123603,71927,429370,193807,27284,3413,130900,1083156,879923,125310,72803,430459,193126,27272,3355,133500,1082226,879359,124911,74188,430926,192618,27902,3376,135400,1080653,876258,124259,75085,431327,193197,28878,3104,138300
"Grand Rapids-Wyoming, MI Metro Area",MI,Grand Rapids,1050440,884536,68125,71540,388060,207007,29117,2432,164300,42.96336,-85.66809,Michigan,East North Central,Midwest,998916,859202,64460,61771,370049,200658,25264,5397,139300,1007329,862058,65855,63943,372118,200478,25583,4816,139100,1017877,868214,66620,66078,375364,200212,25810,3845,141100,1028173,875264,66356,66728,378172,200922,26421,2905,146300,1039182,880197,67306,68963,383745,204360,27429,2707,154700
"Tucson, AZ Metro Area",AZ,Tucson,1019722,777452,35973,132235,400907,174763,26451,5231,173500,32.22174,-110.92648,Arizona,Mountain,West,986891,782731,35791,125970,384041,170483,24147,6938,167500,993144,782395,35426,127106,386155,169997,24266,6673,161700,998537,777699,36123,129067,389658,169543,24172,6233,159900,1003338,775748,35337,129465,395390,171988,24415,5577,160800,1007257,774499,34872,129234,398530,173041,25347,5451,166300
"Urban Honolulu, HI Metro Area",HI,Honolulu,987638,207525,23472,192672,311525,164407,35569,1595,649800,21.30694,-157.85833,Hawaii,Pacific,West,964678,205420,22246,189027,309803,162374,31668,2086,556300,975690,209847,24169,189052,310141,162151,31971,1917,564400,984178,213878,25901,187669,309602,163201,32043,1894,580200,986999,208830,23334,190161,309548,163910,32465,1557,602700,990060,209222,23248,192322,311451,164797,34244,1339,626400
"Tulsa, OK Metro Area",OK,Tulsa,985233,702830,78792,64502,380053,184152,29268,4543,144300,36.15398,-95.99278,Oklahoma,West South Central,South,945802,688892,76794,54470,367897,181431,26028,5623,127800,954055,692020,76844,55995,369720,180616,26425,5449,129100,962676,694422,77063,58065,372665,181458,26714,5090,131400,970603,696902,76645,60345,375807,182027,27202,4744,134700,977869,698596,77729,62567,378264,182803,28216,4713,139100
"Fresno, CA Metro Area",CA,Fresno,978130,627437,47372,208818,304624,142835,23432,1941,237500,29.53885,-95.44744,California,Pacific,West,939605,560516,47790,205349,289811,139122,20810,3179,195400,948844,555967,48276,206325,292550,139639,20721,2684,191700,956749,570451,48499,204747,296305,138710,20870,2189,194600,963160,593119,48434,205766,299456,139277,21314,1953,204900,971616,617322,47715,204366,301824,141665,22230,1892,220600
"Bridgeport-Stamford-Norwalk, CT Metro Area",CT,Bridgeport,944348,691642,107215,205009,340491,181927,39355,4349,422300,41.16704,-73.20483,Connecticut,New England,Northeast,926233,694586,102414,187921,332655,177611,35273,4047,432100,934215,694475,103232,191275,333502,177309,35688,3837,422400,939983,694797,105683,196082,334320,177986,35978,3704,416000,941618,694622,107282,199191,335209,179406,36597,3955,413400,947328,696286,107305,205984,337678,181175,37120,4326,417800
"Worcester, MA-CT Metro Area",MA,Worcester,938818,794133,43461,104053,351743,173008,33499,3161,259300,42.26259,-71.80229,Massachusetts,New England,Northeast,920803,798182,37019,96476,343681,172620,30696,3526,251200,924722,797543,38286,98538,344842,172422,30761,3881,247200,928405,795181,40258,100135,345452,170666,30701,3687,244400,930667,794636,41745,100318,347055,170920,31338,3391,245200,934923,794817,42175,102500,350504,172683,32146,3311,250400
"Omaha-Council Bluffs, NE-IA Metro Area",NE,Omaha,922891,778279,70434,67191,355832,176775,34037,2498,163400,41.25861,-95.93779,Nebraska,West North Central,Midwest,876355,738128,67423,59651,337153,168002,29868,3909,145900,886157,749149,68538,60774,340906,168212,30146,3504,145900,895919,756180,69641,62221,344424,170632,30652,3234,148200,904834,765284,69570,63370,347727,170892,31308,2935,152100,914190,774046,69770,65536,352312,174873,32376,2639,157500
"Albuquerque, NM Metro Area",NM,Albuquerque,910012,677528,23470,83661,349150,150967,27514,4614,186300,35.08449,-106.65114,New Mexico,Mountain,West,893241,636773,24073,87322,342831,151914,26477,4365,179100,899137,645190,24014,87813,344168,151420,26475,4146,177100,902731,650967,24692,86810,343434,150186,26107,4599,177100,904486,657584,23647,85548,343268,150609,26506,4719,177900,905049,672071,23443,83849,345399,149775,27046,4805,181300
"Greenville-Anderson-Mauldin, SC Metro Area",SC,Greenville,883853,682291,145907,52132,338714,167944,26293,3070,154600,33.41012,-91.06177,South Carolina,South Atlantic,South,834277,656620,138341,48037,317600,159741,23182,5847,137300,842817,662288,140816,47480,320027,160488,23431,5349,137600,852631,668403,143005,48740,323691,162942,23728,4709,140000,862064,674031,144201,49396,328367,163861,24341,3983,143700,872463,678280,145409,50243,334042,166214,25374,3598,148700
"Bakersfield, CA Metro Area",CA,Bakersfield,883053,663592,48179,176344,267913,136858,24143,3356,205200,35.37329,-119.01871,California,Pacific,West,848204,613143,47548,174673,255271,129897,21101,3879,161700,857730,632452,48412,175262,257737,131617,21224,3200,161800,865736,646683,49021,176115,259700,132357,21458,2876,167400,871337,647832,48264,176647,262337,134188,22068,2806,175600,878744,660196,48078,175287,264993,134838,23007,3015,190600
"Albany-Schenectady-Troy, NY Metro Area",NY,Albany,880481,730966,69112,69361,350301,157732,34665,3343,208200,31.57851,-84.15574,New York,Mid-Atlantic,Northeast,873238,740929,68053,60472,346281,160590,31266,3651,197500,875567,740173,67181,60512,347401,158430,31608,3491,196800,877846,738444,68208,61526,345988,157850,31543,3501,197400,879291,736238,68023,64525,345957,157813,31959,3343,200100,881862,735020,68660,67634,349325,158428,32971,3176,203300
"Knoxville, TN Metro Area",TN,Knoxville,868499,778593,49381,34485,344901,173390,26402,4915,163600,35.96064,-83.92074,Tennessee,East South Central,South,843268,761541,50197,30679,341859,172089,23894,4741,147000,847765,763715,50269,32194,340980,170064,23859,4470,148200,852159,766783,50252,33042,341889,171451,23919,4725,150800,857111,770692,49747,33767,342226,171929,24428,4975,154800,862490,774174,49354,34663,344088,173168,25449,4876,158700
"New Haven-Milford, CT Metro Area",CT,New Haven,859339,634586,113737,104939,329857,144460,34664,3571,246700,41.30815,-72.92816,Connecticut,New England,Northeast,862611,649673,108359,100759,328013,151160,30854,3578,256900,863148,649232,109755,100989,327086,148754,31002,3530,250400,862224,646775,110719,103280,326028,146853,31369,3460,245200,860874,644385,110829,103937,326487,146029,31904,3626,244000,862127,641178,112152,103028,327402,145850,33190,3818,244400
"McAllen-Edinburg-Mission, TX Metro Area",TX,McAllen,849389,747125,4647,230582,234879,126778,18579,2970,84000,26.2034,-98.23,Texas,West South Central,South,790646,702346,4535,231815,217691,124713,15986,3208,78100,806447,735369,4744,233400,221150,125929,16382,2782,78900,819217,748844,5080,235860,224021,126203,16458,2884,79200,828334,744392,4890,230966,227477,125594,17188,2630,81400,839539,746211,4797,229053,232523,127466,17858,2809,82400
"Oxnard-Thousand Oaks-Ventura, CA Metro Area",CA,Oxnard,848112,680197,14835,186780,271226,150646,32246,1797,559700,34.1975,-119.17705,California,Pacific,West,829017,629868,15179,189104,267076,149005,29738,1875,442200,835790,649278,15035,190562,267829,149020,29886,1576,444800,840833,662754,15063,191739,268969,149844,30055,1484,458100,843110,669728,14847,192397,269338,150328,30644,1344,481400,847834,677010,14805,190782,270046,150605,31387,1425,520300
"El Paso, TX Metro Area",TX,El Paso,841752,675103,28789,209487,266624,129804,22066,3278,118900,31.75872,-106.48693,Texas,West South Central,South,816409,660492,26537,212121,256669,128761,19537,2792,111400,827206,676066,28018,214493,258622,129157,19745,3005,112500,834425,691355,29403,213291,260580,130728,20379,3197,113600,837073,693406,29126,212714,262355,131649,20758,3128,114500,838527,679882,28778,213715,264090,130498,21472,3313,116300
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",PA,Allentown,834615,700333,47918,76365,319220,162194,30978,3215,207200,40.60843,-75.49018,Pennsylvania,Mid-Atlantic,Northeast,823731,703051,42892,66422,312844,163635,27379,4060,207000,826260,700433,43734,67990,313786,162813,27692,4045,202900,828232,699706,43803,70118,314305,162317,27921,3896,199800,830737,699603,45091,71919,315449,161708,28898,3685,200000,832790,700165,46910,72481,318429,162381,30147,3927,202800
"Baton Rouge, LA Metro Area",LA,Baton Rouge,829642,492514,293907,32451,301463,134230,28870,3487,173700,30.45075,-91.15455,Louisiana,West South Central,South,808816,487178,287579,28833,295913,133976,26212,3821,158100,814805,489906,289974,29513,299156,134398,26529,3915,158600,819861,492179,290894,30139,300913,134215,26800,3519,161800,824667,492913,292728,30213,301189,132987,27187,3459,164500,828741,493718,293605,32336,301894,134303,28294,3214,168200
"Columbia, SC Metro Area",SC,Columbia,816664,488977,271564,40609,308718,136222,28072,4548,149700,39.24038,-76.83942,South Carolina,South Atlantic,South,776794,473931,258146,37563,294291,133913,25866,4536,139400,784698,476637,260138,39339,296439,133279,25675,4726,138500,792530,479605,262676,39327,297977,133855,25856,4814,140600,800559,483017,266113,38754,301048,134259,26513,4745,143000,808377,486443,269161,41209,305203,135271,27131,4326,145900
"Dayton, OH Metro Area",OH,Dayton,802645,628914,123398,35883,330381,145681,28681,4291,129800,39.75895,-84.19161,Ohio,East North Central,Midwest,801888,634870,125180,29141,326653,145454,25204,5215,124000,801259,632837,125258,29991,327391,144607,25575,4837,122700,801472,632353,124345,31684,328004,144914,25851,4752,122600,800950,631019,123845,32555,328062,144194,26348,4431,122900,800893,629408,123367,34758,329097,146294,27193,4448,125800
"North Port-Sarasota-Bradenton, FL Metro Area",FL,North Port,785997,695708,50995,98043,324203,164373,29676,5481,228200,27.04422,-82.23593,Florida,South Atlantic,South,712581,625874,46965,87896,301752,149848,25917,7657,170900,722784,634633,47777,88324,306165,153252,26360,7056,169000,735767,648306,50382,90763,309910,155766,26739,6154,175100,751422,665541,49469,91865,311566,156913,27087,5636,189400,768381,680275,50492,95937,318253,160701,28150,5574,207600
"Charleston-North Charleston, SC Metro Area",SC,Charleston,759247,515005,197074,37575,285962,133690,31042,3592,221800,39.49615,-88.17615,South Carolina,South Atlantic,South,682904,457689,186957,35948,259430,119702,26582,4980,186900,697281,468674,188704,35303,264864,122145,26943,4610,186700,712232,480080,191661,35879,268904,123634,27426,4199,189600,728271,491854,193495,35881,274408,125681,28762,3671,195700,744195,503404,196047,37061,281245,130680,30238,3842,207500
"Greensboro-High Point, NC Metro Area",NC,Greensboro,757810,481805,202596,66588,295973,134757,26771,3142,145900,36.07264,-79.79198,North Carolina,South Atlantic,South,730342,480347,188554,61060,288506,132205,24288,5322,140600,735777,482687,191047,62258,290505,132314,24644,4791,140000,741433,481845,194660,62679,291630,132967,24750,4345,140700,746301,481735,197630,64266,292685,132639,25193,3689,140900,751590,480759,200455,65092,293839,133781,25972,3281,143800
"Little Rock-North Little Rock-Conway, AR Metro Area",AR,Little Rock,734502,519364,170821,31053,282138,130225,28687,5047,150500,34.74648,-92.28959,Arkansas,West South Central,South,709447,516732,159192,27907,273230,128664,26142,5631,135000,716849,521422,162241,28660,274285,128715,26343,6369,136400,722684,521931,164730,28515,276358,129591,26333,5942,139000,727371,521616,166388,28702,278116,129523,26777,5388,141700,730346,519151,168175,30130,279408,129569,27456,5322,146000
"Stockton-Lodi, CA Metro Area",CA,Stockton,732212,411958,52023,170888,226727,117049,27467,1080,313800,37.9577,-121.29078,California,Pacific,West,693177,407287,49901,159987,215563,111745,23677,2651,208000,701050,405458,50377,161686,217343,111709,23500,2079,211300,708554,403891,50263,165260,219073,113594,23806,1836,223000,714860,403016,49874,166244,221707,114909,24726,1416,246900,724153,404806,50433,168377,223808,116150,26020,1195,281100
"Cape Coral-Fort Myers, FL Metro Area",FL,Cape Coral,718679,609126,61829,119426,271861,139090,27201,5510,207700,26.56285,-81.94953,Florida,South Atlantic,South,633968,533670,53045,95483,241531,125312,24567,8236,149400,647554,545605,55693,99454,246061,125171,24594,6821,150000,663675,561079,57315,102662,252287,128150,24877,6595,157400,680970,578220,58757,106476,258084,132317,25469,5611,171100,700165,593227,60664,113019,264325,136060,26138,5508,190200
"Colorado Springs, CO Metro Area",CO,Colorado Springs,712266,570192,43473,48471,263562,140682,31688,2361,255200,38.83388,-104.82136,Colorado,Mountain,West,657699,537251,37830,46185,246473,130821,29330,3300,214200,669070,543280,38717,46849,249765,132125,29393,3045,215300,678364,547666,39809,47431,254868,135928,29844,2779,219300,688643,555626,40982,47889,259041,138368,30382,2566,227800,698595,559248,41615,47121,259821,139936,31059,2354,239100
"Akron, OH Metro Area",OH,Akron,704454,574542,84790,33729,286378,129103,28892,2985,144900,41.08144,-81.51901,Ohio,East North Central,Midwest,704979,586456,83734,29228,281367,131626,26065,3946,139100,703017,582561,83697,29576,281752,130688,26239,3358,137600,703744,580792,83861,30960,281957,130090,26382,3381,137900,703168,578595,84285,32671,283472,129886,26767,3358,138400,703398,575891,85030,33877,285229,129868,27570,3168,140800
"Boise City, ID Metro Area",ID,Boise,693952,616708,6985,45425,253531,131373,28411,2050,214300,43.6135,-116.20345,Idaho,Mountain,West,628966,576994,4737,41795,228270,124876,25039,4182,166300,639616,585465,5245,43094,232248,126052,25449,3668,164400,651402,594247,5665,45267,236303,126305,25592,2845,167800,663680,601082,6140,43358,240902,126314,26207,2404,176600,677346,608261,6584,43405,247290,128678,27218,2336,192600
"Lakeland-Winter Haven, FL Metro Area",FL,Lakeland,668671,520186,101690,66960,231260,116128,25525,4828,135400,28.03947,-81.9498,Florida,South Atlantic,South,610295,481454,90406,62357,219540,111456,22453,5788,111400,617323,486381,92931,62198,220556,111638,22736,5578,107100,626676,493630,94487,62222,221381,111361,22896,5340,107300,637691,500894,96445,62942,223060,111553,23658,5117,110400,652256,510554,99355,65002,226604,114167,24479,5243,121100
"Winston-Salem, NC Metro Area",NC,Winston-Salem,661798,501669,117669,45482,262905,127313,27266,3813,147600,36.09986,-80.24422,North Carolina,South Atlantic,South,644250,490329,113545,44727,255148,125510,24998,4725,142800,648045,495545,114646,45188,256301,124260,25006,4236,141900,651630,498827,115226,45210,257656,125417,24796,4152,143000,654589,499502,115789,43226,259085,125582,25206,4089,143700,658195,500332,116487,44249,260518,126956,26240,4211,145000
"Syracuse, NY Metro Area",NY,Syracuse,654705,552435,55464,40437,257682,116420,30401,2987,134000,43.04812,-76.14742,New York,Mid-Atlantic,Northeast,661838,565425,53470,37229,256745,117070,27158,3184,122900,662236,562969,54270,37665,256796,116168,27325,3237,124400,661914,560980,54399,38636,256229,115347,27596,3396,126700,660652,558814,54636,38593,256420,115182,28060,3288,128200,659262,556104,55155,39449,258028,116306,29321,3362,131100
"Ogden-Clearfield, UT Metro Area",UT,Ogden,652744,587575,7610,35376,205890,132447,31194,2309,235700,41.223,-111.97383,Utah,Mountain,West,605609,540444,7221,32842,193830,123691,27851,1926,197700,614521,549602,6916,33956,195735,125446,27931,1934,198200,623323,557941,6802,34648,197475,125781,27877,2031,199300,632793,568529,7109,34667,199388,127892,28959,2157,206900,642274,578511,7260,34530,202991,130838,30141,2301,220600
"Madison, WI Metro Area",WI,Madison,647281,555706,28399,48288,268213,126290,35732,1710,238800,34.69926,-86.74833,Wisconsin,East North Central,Midwest,614019,538086,26422,41925,253967,120726,31224,2646,217500,620368,540469,26904,42399,255724,121168,31476,2705,217500,627618,543929,27592,43632,258237,121491,31576,2582,219200,634269,547850,27778,45044,261002,123240,32116,2319,224200,640072,551421,27796,47297,265003,124695,33928,1886,230200
"Wichita, KS Metro Area",KS,Wichita,643765,524040,48395,46788,246047,120196,29865,3036,133700,37.69224,-97.33754,Kansas,West North Central,Midwest,633020,518762,46914,44912,242541,119514,26994,3539,121600,636095,523461,48055,46427,241831,120404,27324,3873,122800,638884,527094,48854,47288,242912,119954,27511,3614,124400,640505,529854,48563,46916,243758,120279,27987,3166,126300,642339,527374,48552,46992,245121,120594,28952,3331,129300
"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",FL,Deltona,634773,523263,68312,53009,253614,118958,25801,4208,170600,28.90054,-81.26367,Florida,South Atlantic,South,593569,486023,62967,47631,231554,113381,22861,7104,148500,597824,491398,63152,50346,233031,112993,22851,6338,139800,604502,499718,64336,50210,237130,113398,22775,5619,138900,613723,510065,65165,49677,243460,115031,23507,4824,147000,623675,516847,66000,50345,249318,117080,24495,4622,156900
"Des Moines-West Des Moines, IA Metro Area",IA,Des Moines,634201,549836,32706,50185,246304,123910,35905,2293,176300,41.60054,-93.60911,Iowa,West North Central,Midwest,580913,509303,27217,42916,227537,117366,31853,2647,156400,590741,517413,28629,44386,229824,118267,32485,2814,157800,601187,526916,29495,45706,233390,119309,32425,2594,160100,611755,534055,30607,46804,237527,120031,33312,2211,164500,623113,541858,31535,48761,242050,121914,34519,2295,169400
"Springfield, MA Metro Area",MA,Springfield,630275,522739,45654,54187,237708,99487,27060,1662,222600,39.80172,-89.64371,Massachusetts,New England,Northeast,624411,504738,44816,56394,236818,101562,24892,2171,215600,626775,507497,44751,55372,236512,101521,25143,1941,214000,628800,510821,44880,54290,235531,100372,25010,1993,214100,629107,516184,44846,54602,235601,99723,25603,1751,214600,630385,519110,45717,54231,237713,100581,26282,1599,217500
"Toledo, OH Metro Area",OH,Toledo,604620,470714,85364,21610,245933,103286,27027,2779,124400,41.66394,-83.55521,Ohio,East North Central,Midwest,609437,482751,87057,19970,243472,106025,23630,3739,118200,608847,480039,86311,20313,244015,104743,23908,3403,115900,607631,477157,85922,19988,243939,103643,24127,2924,114700,606684,475803,86967,19989,244742,103100,25128,2806,116700,605204,473066,86170,21273,245562,103736,25758,2896,120500
"Provo-Orem, UT Metro Area",UT,Provo,601388,552662,3603,42999,164039,115500,24967,1077,278200,40.23384,-111.65853,Utah,Mountain,West,539562,493176,3187,38386,146021,103289,21571,1651,220800,550774,504997,3318,38908,148535,105327,21634,1418,221100,562357,517338,3366,39888,151570,107699,21833,1380,227100,574684,529992,3354,39546,154497,110118,22224,1247,238100,587190,540416,3458,41923,158951,112715,23539,1175,255100
"Augusta-Richmond County, GA-SC Metro Area",GA,Augusta,594300,347410,211628,28257,214489,100820,25858,4610,139600,33.47097,-81.97484,Georgia,South Atlantic,South,570516,334653,203160,22874,208170,96245,23696,4614,124700,575669,338282,204738,24275,208736,96070,23935,4604,125900,580178,339550,206338,24679,209672,97745,24037,4548,128200,584964,342338,208335,26107,211238,98781,24304,4449,130700,589519,345479,209658,26917,212603,99983,24961,4360,133500
"Jackson, MS Metro Area",MS,Jackson,580280,276599,285789,14453,210993,93545,27233,2955,143900,32.29876,-90.18481,Mississippi,East South Central,South,571881,277978,276714,14240,205802,90237,24103,2819,127500,574998,278255,279311,14216,206923,91699,24630,2924,129800,577070,278399,280749,14273,207730,91060,24959,2588,133300,578095,277097,283628,13781,209150,92089,25345,2534,135900,578565,275924,284499,14081,210526,93346,26547,2679,139600
"Palm Bay-Melbourne-Titusville, FL Metro Area",FL,Palm Bay,576808,476767,58100,49676,228888,111018,27222,2724,177400,28.03446,-80.58866,Florida,South Atlantic,South,545667,456026,54822,47511,220277,107860,25341,5240,144900,548891,456683,56026,48234,221582,106355,25507,4541,138500,553591,459762,56914,47947,222791,105448,25490,3738,142200,560683,466147,57306,48402,224373,107301,25488,3349,150500,568183,470794,57728,48940,227223,109829,26236,2760,162400
"Harrisburg-Carlisle, PA Metro Area",PA,Harrisburg,567872,457905,62522,36722,228652,111048,32957,2204,179500,40.2737,-76.88442,Pennsylvania,Mid-Atlantic,Northeast,552292,455682,55664,29279,222290,109151,30142,2995,169200,555154,455719,56556,31189,222939,108681,30249,2573,169900,558198,456265,57434,33259,223658,109569,30333,2606,170700,561447,456856,58916,34474,224595,109671,30982,2595,173200,565008,457882,60705,35958,227344,110433,31930,2225,175600
"Durham-Chapel Hill, NC Metro Area",NC,Durham,558491,346888,148638,68495,220244,96686,31563,1835,223000,35.99403,-78.89862,North Carolina,South Atlantic,South,516798,318712,138459,63260,204016,90286,26977,3004,193100,525050,324654,141010,63672,206783,91121,27698,2655,194100,534154,332434,143325,65318,210161,92291,27888,2524,197600,542399,337373,145556,64839,213280,94178,29149,2368,203400,550281,340654,147728,66899,217016,95595,30655,2269,212400
"Scranton--Wilkes-Barre--Hazleton, PA Metro Area",PA,Scranton,556926,502392,20927,32278,225466,100507,26906,3251,137300,41.40897,-75.66241,Pennsylvania,Mid-Atlantic,Northeast,563279,519907,18068,27499,227641,104545,23597,3810,131000,562644,518013,18491,28254,225565,102767,23856,3580,132500,561701,512885,19401,28624,224620,101107,24286,3760,133000,559898,510005,19384,29341,223489,100252,24962,3668,134700,557942,506084,19975,30871,224955,101350,25964,3525,136300
"Spokane-Spokane Valley, WA Metro Area",WA,Spokane,555308,489982,8244,28679,221704,107447,28240,2222,207000,47.65966,-117.42908,Washington,Pacific,West,530301,473932,9254,27795,210740,102966,25305,2851,183800,533456,476140,9536,28232,211284,103628,25585,2785,181100,537348,478862,9022,29085,212546,103948,25449,2673,182200,542604,482509,8984,28400,214073,104130,25987,2490,185400,547688,485599,8577,28441,218166,106278,27042,2527,194400
